,Unnamed: 0,client_id,province,transaction_method,card_type,amount(eur),time,possible_fraud,hour,mean_amount,std_amount,z_score
3167,3167,user_1049,Huelva,Online,Mastercard,2282.59,2024-05-13 03:38:06.205918502,Y,3,2517.606470588235,1627.479229905643,-0.14440520423837327
3171,3171,user_1759,Málaga,Contactless,Visa,4991.4,2024-05-20 13:59:07.584381204,Y,13,2327.9983333333334,1600.9903131876183,1.6635963657792256
3173,3173,user_1184,Zamora,Contactless,Visa,3782.16,2024-05-30 05:47:42.777725253,Y,5,2630.9975,1538.926537834084,0.7480295333786167
3174,3174,user_415,Segovia,Physical Card,Discover,20.47,2024-05-30 03:11:33.315684977,Y,3,2458.7708333333335,1295.4488547250073,-1.8822054027373596
3176,3176,user_580,Gerona,Contactless,Visa,398.7,2024-05-25 04:08:23.734518294,Y,4,2692.0,3243.215962590219,-0.7071067811865476
3181,3181,user_1316,Vizcaya,Online,Visa,1161.9,2024-05-28 04:01:43.469792947,Y,4,2637.100769230769,1731.5556880758102,-0.85195109772651
3183,3183,user_5,Madrid,Contactless,Mastercard,4939.19,2024-05-21 05:10:44.984400113,Y,5,2527.91875,1781.960144354986,1.3531566671895487
3184,3184,user_410,Asturias,Online,Visa,4204.52,2024-05-08 04:05:24.023825281,Y,4,2302.911875,1746.1315727104443,1.089040571008184
3187,3187,user_899,Cantabria,Physical Card,Mastercard,4857.08,2024-05-25 04:40:02.949796728,Y,4,2606.3036842105266,1513.0014410921042,1.4876233787092983
3200,3200,user_350,Barcelona,Physical Card,Visa,2302.03,2024-05-31 02:22:12.173584192,Y,2,2054.0924999999997,1203.7755924396097,0.20596654522419952
3203,3203,user_908,Vizcaya,Contactless,Mastercard,4988.78,2024-05-28 07:05:18.918407866,Y,7,2045.0122222222224,1598.7917821731648,1.8412452519467217
3218,3218,user_335,Valladolid,Physical Card,Mastercard,3378.29,2024-05-06 03:05:50.231634679,Y,3,2195.4844444444443,1385.8215538136137,0.8535049496817375
3230,3230,user_539,Barcelona,Online,Mastercard,1816.31,2024-05-11 02:00:33.355393778,Y,2,1332.4550000000002,1457.1124178719595,0.3320642896631449
3247,3247,user_1008,La Rioja,Contactless,Visa,4059.44,2024-05-18 02:39:09.172733289,Y,2,3072.35,1028.5568162904272,0.9596844669796848
3248,3248,user_1142,Alicante,Online,American Express,1472.92,2024-05-11 04:40:56.046137846,Y,4,2754.9866666666667,1431.3716425995365,-0.8956909781573466
3250,3250,user_1153,Madrid,Online,Mastercard,4382.25,2024-05-05 02:13:53.884844473,Y,2,2962.9268421052634,1318.5139821575763,1.076456660377768
3254,3254,user_337,Álava,Online,Mastercard,112.54,2024-05-23 02:28:44.269641675,Y,2,2442.652,1624.1349775239871,-1.4346787873211642
3258,3258,user_1994,Barcelona,Contactless,Mastercard,2513.99,2024-05-26 03:38:02.121584570,Y,3,2383.396111111111,1549.641216373644,0.08427362895941475
3291,3291,user_1835,León,Online,Discover,4951.18,2024-05-01 18:55:18.521319844,Y,18,3022.1806666666666,1333.4131404860805,1.4466629094641583
3298,3298,user_1072,Madrid,Contactless,Mastercard,217.62,2024-05-27 03:56:12.638744445,Y,3,2126.7015789473685,1083.3359277418328,-1.7622249295532615
3300,3300,user_849,Barcelona,Online,Visa,1260.14,2024-05-11 03:46:04.072988560,Y,3,2572.016666666667,1351.503233018925,-0.9706796362863727
3302,3302,user_1593,Madrid,Online,Mastercard,30.73,2024-05-18 03:19:14.845419306,Y,3,2609.434285714286,1865.0688047803583,-1.3826322541585643
3310,3310,user_1917,Granada,Contactless,Mastercard,1843.14,2024-05-30 05:51:56.006429044,Y,5,2079.579375,1359.7501367210507,-0.17388442818631217
3311,3311,user_476,Málaga,Physical Card,Mastercard,986.13,2024-05-17 05:58:19.933818663,Y,5,2638.21875,1598.155082653902,-1.03374745538245
3313,3313,user_840,Zaragoza,Contactless,Visa,915.4,2024-05-19 02:42:33.389429895,Y,2,2634.3307142857143,1384.0222199831703,-1.241982021290537
3314,3314,user_1987,Gerona,Online,Visa,4177.37,2024-05-07 03:55:39.964072988,Y,3,2061.36,1464.8193749913332,1.444553530712631
3318,3318,user_588,Valencia,Online,Visa,122.24,2024-05-04 03:49:40.542686962,Y,3,2231.5499999999997,1115.6334899794092,-1.8906836509891172
3319,3319,user_131,Valencia,Online,Mastercard,4157.42,2024-05-20 04:20:55.251961803,Y,4,2364.1940000000004,1181.6580568337017,1.5175506904298675
3323,3323,user_1443,Cádiz,Online,Mastercard,4726.41,2024-05-30 05:22:23.405502505,Y,5,3307.485789473684,1159.8175119930424,1.223402988706406
3324,3324,user_1908,Barcelona,Contactless,Mastercard,4718.55,2024-05-05 05:53:21.777441618,Y,5,3146.4742857142855,1259.6072897761203,1.2480681296828091
3334,3334,user_1255,Orense,Online,Mastercard,3480.85,2024-05-21 04:07:26.553843244,Y,4,2568.73125,1400.2178134688038,0.6514120454876798
3335,3335,user_1763,Jaén,Online,Mastercard,247.97,2024-05-06 03:26:56.375153635,Y,3,2431.413333333333,1338.8462147774142,-1.6308395312573931
3340,3340,user_152,Jaén,Contactless,Mastercard,1951.56,2024-05-05 03:12:59.086697551,Y,3,2226.76,1310.7155937544617,-0.20996164332775452
3343,3343,user_1755,Guipúzcoa,Online,Mastercard,1877.16,2024-05-24 05:12:31.177082348,Y,5,2604.8791666666666,1496.3660348169456,-0.4863243014973207
3350,3350,user_1231,Murcia,Online,Mastercard,3798.71,2024-05-06 04:30:14.805710503,Y,4,2968.5115384615387,1211.2863065686695,0.6853858225230388
3353,3353,user_852,Madrid,Contactless,Visa,4168.14,2024-05-23 04:12:08.372884560,Y,4,2807.7111111111108,1864.0430621866306,0.7298269640257278
3357,3357,user_98,Madrid,Online,Visa,4782.04,2024-05-12 02:46:09.859128297,Y,2,1944.5566666666666,1648.1820073153617,1.7215837333130235
3366,3366,user_1611,Zaragoza,Contactless,Mastercard,2077.47,2024-05-02 04:01:51.638460811,Y,4,2693.9773684210527,1284.4797160538583,-0.47996660493407334
3370,3370,user_407,Cádiz,Online,Mastercard,1373.97,2024-05-07 05:30:37.609908291,Y,5,2651.949090909091,1691.468911233396,-0.7555439431501026
3375,3375,user_192,Madrid,Physical Card,Mastercard,3325.96,2024-05-09 04:48:53.913207903,Y,4,1784.793846153846,1476.0679896408253,1.0441024157844987
3381,3381,user_1783,La Coruña,Physical Card,American Express,1177.34,2024-05-12 02:58:49.545239671,Y,2,2263.2415789473685,1584.0345634530943,-0.6855289676130377
3382,3382,user_1304,Las Palmas,Online,Visa,554.73,2024-05-19 04:34:23.950080363,Y,4,2147.7683333333334,1240.4324220112385,-1.2842604764799515
3385,3385,user_1180,Burgos,Contactless,Visa,638.77,2024-05-16 03:22:59.483785572,Y,3,2277.72,1449.779535929515,-1.1304822280783537
3397,3397,user_1334,Sevilla,Contactless,American Express,1932.26,2024-05-21 04:30:39.311714096,Y,4,1959.7226315789476,1326.7358501175486,-0.020699396625571253
3402,3402,user_1272,Barcelona,Online,Visa,1217.21,2024-05-21 03:10:27.966342063,Y,3,2764.838888888889,1516.5236549730473,-1.0205108794800795
3408,3408,user_1347,Murcia,Physical Card,Mastercard,4480.97,2024-05-04 03:20:07.941760423,Y,3,3044.6093333333333,1352.014171472995,1.0623858070228493
3414,3414,user_626,Sevilla,Contactless,American Express,3018.67,2024-05-27 02:36:01.293372412,Y,2,3494.357,968.5123438214117,-0.49115223263247737
3415,3415,user_1500,Almería,Online,Mastercard,4371.9,2024-05-04 04:57:12.201947622,Y,4,2226.8016666666667,1617.3444520835053,1.3263088951583326
3417,3417,user_1407,Baleares,Contactless,Mastercard,2020.28,2024-05-30 05:11:50.333743027,Y,5,2803.549411764706,1318.823738030743,-0.593915160288423
3425,3425,user_304,Barcelona,Physical Card,Mastercard,2276.26,2024-05-12 03:34:41.989221896,Y,3,2820.029,1208.2186706833238,-0.45005843163511466
3435,3435,user_812,Asturias,Online,Mastercard,2007.08,2024-05-22 03:34:58.326557625,Y,3,2523.0675,1252.0525743780358,-0.41211328546352766
3443,3443,user_1044,Vizcaya,Contactless,Mastercard,3972.4,2024-05-08 05:21:22.140493523,Y,5,2016.7168421052634,1355.128008734282,1.4431722651215702
3456,3456,user_1704,Madrid,Online,Mastercard,902.25,2024-05-16 02:49:13.654155242,Y,2,2288.666842105263,1683.1727428944441,-0.8236925460907424
3463,3463,user_750,Alicante,Online,Visa,4821.35,2024-05-09 04:42:34.070152217,Y,4,2752.9558333333334,1871.811241053864,1.1050228363315753
3464,3464,user_1434,Cádiz,Physical Card,Mastercard,3603.09,2024-05-12 03:24:08.917462418,Y,3,2398.433157894737,1427.7375219713983,0.8437523169117885
3470,3470,user_1757,Madrid,Online,American Express,639.48,2024-05-02 02:26:53.992625508,Y,2,2073.370909090909,1236.6870144580198,-1.1594614420038318
3472,3472,user_1346,Barcelona,Online,Visa,1935.49,2024-05-03 04:22:08.769972582,Y,4,2428.132777777778,1633.6836124710733,-0.30155335709869635
3481,3481,user_1404,Madrid,Contactless,Visa,3472.84,2024-05-10 02:43:34.654438876,Y,2,2753.837857142857,1816.7562031276368,0.39576149051773973
3486,3486,user_711,Guipúzcoa,Online,Mastercard,1396.28,2024-05-08 04:51:49.539566985,Y,4,1828.1419999999998,1252.1277688296373,-0.34490250176598264
3488,3488,user_1212,Orense,Contactless,Visa,2956.32,2024-05-02 03:47:05.337997541,Y,3,2853.94,1366.1250593997609,0.07494189444484911
3495,3495,user_942,Pontevedra,Online,Mastercard,1362.53,2024-05-24 05:42:03.778008887,Y,5,1757.5317647058823,1376.920472096316,-0.2868733327092633
3503,3503,user_1135,Málaga,Online,Mastercard,4437.29,2024-05-19 05:33:29.151933440,Y,5,2845.6647368421054,1511.2141547862486,1.053209605082755
3508,3508,user_827,Almería,Online,Visa,4972.65,2024-05-14 13:11:16.297626926,Y,13,3108.972222222222,1429.6912788061777,1.3035525958681007
3509,3509,user_810,Málaga,Physical Card,Mastercard,882.23,2024-05-12 02:31:23.558665027,Y,2,2796.2960000000003,1403.1037026575866,-1.3641657394065825
3522,3522,user_1369,Valladolid,Physical Card,Mastercard,203.18,2024-05-06 02:36:17.630708140,Y,2,2544.8885,1467.8542245714893,-1.5953276972606834
3523,3523,user_485,Guipúzcoa,Contactless,American Express,3498.92,2024-05-15 02:22:36.679587784,Y,2,2665.8016666666667,1259.8705737122605,0.6612729519338767
3532,3532,user_1560,Santa Cruz de Tenerife,Online,Mastercard,622.86,2024-05-12 02:52:29.702183984,Y,2,2147.237894736842,1650.8535998371635,-0.9233876916082705
3536,3536,user_600,Valencia,Contactless,Visa,1778.98,2024-05-12 02:41:56.630424506,Y,2,2358.98375,1552.7332728144263,-0.3735372714392258
3548,3548,user_715,Málaga,Online,Mastercard,4135.39,2024-05-05 02:35:00.028363430,Y,2,2801.394615384616,1447.103340732878,0.9218383698428817
3560,3560,user_1481,Badajoz,Physical Card,Mastercard,3709.16,2024-05-04 05:49:57.560745012,Y,5,2751.23,1567.0443636296116,0.6112973073597151
3561,3561,user_498,Valencia,Contactless,Mastercard,3312.55,2024-05-25 04:16:50.191925876,Y,4,2563.8416666666667,1263.3847401058608,0.5926210041690056
3570,3570,user_1952,Granada,Online,Visa,175.6,2024-05-31 04:05:36.276827077,Y,4,2208.137142857143,1462.9300063424575,-1.3893604848114285
3572,3572,user_1145,Madrid,Online,Mastercard,2420.36,2024-05-10 04:58:37.972960196,Y,4,2198.0270588235294,1256.9223349155504,0.17688677732933178
3578,3578,user_1400,Badajoz,Contactless,Mastercard,261.78,2024-05-29 05:12:39.345750212,Y,5,2194.402222222222,1813.643553484103,-1.0656020134218518
3586,3586,user_342,Madrid,Contactless,Visa,739.15,2024-05-06 05:31:26.621915476,Y,5,1166.9212499999999,904.8994813385549,-0.47272792041744527
3589,3589,user_640,Madrid,Online,Mastercard,1426.92,2024-05-07 05:39:04.067315874,Y,5,2236.23625,1243.9602244782302,-0.6505965657699879
3598,3598,user_338,La Coruña,Online,Mastercard,4004.16,2024-05-16 02:38:40.582395764,Y,2,2565.2182352941177,1461.1738986523615,0.984784744672086
3600,3600,user_1443,Vizcaya,Contactless,Mastercard,3103.75,2024-05-28 03:36:24.097570199,Y,3,3307.485789473684,1159.8175119930424,-0.17566193592264534
3605,3605,user_1381,Madrid,Online,Mastercard,2114.45,2024-05-15 04:18:40.468942044,Y,4,3008.913846153846,1352.7075383623423,-0.6612396403414225
3606,3606,user_440,Madrid,Online,American Express,373.18,2024-05-31 05:04:41.478680155,Y,5,3009.9437500000004,1449.512253670548,-1.8190696514106852
3607,3607,user_535,Guipúzcoa,Online,Visa,4997.61,2024-05-20 19:53:38.795499669,Y,19,3176.337,1659.6514792104863,1.097382807664172
3613,3613,user_26,Barcelona,Online,Mastercard,4558.81,2024-05-11 02:30:05.956320317,Y,2,2854.63875,1458.0604377957038,1.1687932858094463
3615,3615,user_96,Madrid,Online,Visa,4088.11,2024-05-13 05:17:17.080457596,Y,5,2407.9853846153846,1314.5444508498963,1.2781040719455015
3622,3622,user_634,La Rioja,Online,Mastercard,893.1,2024-05-30 05:26:36.634206296,Y,5,1712.1831578947367,1163.3010594666112,-0.7041024773675502
3630,3630,user_1589,Melilla,Physical Card,Mastercard,1397.3,2024-05-27 05:58:36.271154391,Y,5,2450.904705882353,1688.3801452876276,-0.6240328689146389
3636,3636,user_202,Toledo,Physical Card,Mastercard,3671.79,2024-05-29 04:30:27.058712300,Y,4,2684.8923076923074,1573.3468304072578,0.627260101354916
3637,3637,user_1274,Guipúzcoa,Physical Card,Mastercard,277.73,2024-05-04 04:00:13.614446440,Y,4,1686.5963636363638,1253.880438257753,-1.123605026962508
3650,3650,user_347,Pontevedra,Online,Visa,742.75,2024-05-02 04:08:11.481516498,Y,4,2293.2039999999997,1699.9239050986118,-0.9120725906316721
3651,3651,user_625,León,Contactless,Mastercard,2763.05,2024-05-16 04:47:24.057861397,Y,4,1991.3517647058825,1356.1056950291304,0.569054637940696
3653,3653,user_15,Orense,Contactless,Visa,2204.56,2024-05-11 03:27:04.543821499,Y,3,2396.7573684210524,1190.0971591001492,-0.16149720798121717
3654,3654,user_1822,Barcelona,Online,Mastercard,4866.55,2024-05-07 04:46:18.708518483,Y,4,2566.2245,1525.8858182586582,1.5075344907688657
3656,3656,user_261,Burgos,Physical Card,Visa,4606.77,2024-05-29 03:08:09.098988371,Y,3,1922.7818181818184,1940.307608261217,1.3832797286320004
3658,3658,user_33,Barcelona,Physical Card,Mastercard,1923.52,2024-05-08 05:08:42.454382149,Y,5,2816.55,1140.756229149268,-0.7828403450104213
3662,3662,user_809,Tarragona,Online,Visa,1420.96,2024-05-24 04:28:12.275692540,Y,4,2235.6777777777775,1377.246187764707,-0.5915556601395119
3667,3667,user_1095,Valladolid,Contactless,Visa,3263.49,2024-05-27 03:26:40.037817906,Y,3,1950.8511764705884,1562.6827938271826,0.839990578199568
3668,3668,user_340,Guipúzcoa,Physical Card,Mastercard,801.09,2024-05-06 05:31:26.621915476,Y,5,2737.1883333333335,1582.8377350352482,-1.2231818148372728
3672,3672,user_1625,Sevilla,Online,Discover,4011.73,2024-05-27 03:45:39.566984967,Y,3,2276.426,1403.4812308419782,1.2364283624647794
3677,3677,user_933,Badajoz,Online,Mastercard,4743.56,2024-05-18 03:40:20.988938262,Y,3,2645.1511764705883,1680.38829413354,1.24876424743926
3689,3689,user_424,Cuenca,Physical Card,American Express,209.1,2024-05-25 02:50:19.003498156,Y,2,1539.81,1560.9417959039986,-0.8525045607029422
3690,3690,user_513,Vizcaya,Online,Mastercard,2228.95,2024-05-21 04:20:06.239954618,Y,4,2609.575,1617.4386876022943,-0.23532576716354048
3696,3696,user_647,Barcelona,Physical Card,Visa,1014.71,2024-05-29 05:33:45.489269169,Y,5,2202.6150000000002,1672.097100365287,-0.7104282399272687
3697,3697,user_1200,Sevilla,Online,Mastercard,1952.25,2024-05-04 02:59:01.798241467,Y,2,2659.816842105263,1335.7403465246973,-0.5297188513817047
3704,3704,user_1298,Cantabria,Physical Card,American Express,3166.6,2024-05-25 04:46:22.792852415,Y,4,3024.8100000000004,1776.276425830169,0.07982428744655093
3706,3706,user_1128,Madrid,Online,Visa,3882.23,2024-05-28 03:21:37.797106930,Y,3,2774.9136363636367,1714.2321755075811,0.6459547192366104
3711,3711,user_486,Guipúzcoa,Contactless,Mastercard,4667.02,2024-05-05 03:40:25.073272194,Y,3,2492.011,1579.9963220306959,1.3765911791519632
3714,3714,user_1790,Vizcaya,Contactless,Visa,1016.47,2024-05-20 04:06:08.951498534,Y,4,1509.4722222222222,1201.8219133338534,-0.4102123756877042
3723,3723,user_1443,Huelva,Online,American Express,587.62,2024-05-17 05:05:34.575021272,Y,5,3307.485789473684,1159.8175119930424,-2.345080809135084
3731,3731,user_1108,Madrid,Online,Mastercard,3408.03,2024-05-31 03:06:31.074974000,Y,3,2053.793333333333,1438.3007638703386,0.9415531860127345
3737,3737,user_590,Madrid,Physical Card,Discover,4209.2,2024-05-05 02:26:33.570955847,Y,2,2767.0183333333334,1574.0548272432084,0.9162207324077116
3741,3741,user_1340,Málaga,Online,Mastercard,2902.09,2024-05-30 02:37:47.486054647,Y,2,2673.8715384615384,1628.7955247966013,0.14011486283212923
3742,3742,user_601,Sevilla,Online,American Express,634.51,2024-05-19 02:08:47.559799565,Y,2,2517.26,1247.7354951181674,-1.5089335899847054
3743,3743,user_19,Cádiz,Online,Visa,2283.73,2024-05-21 03:37:53.952916706,Y,3,2326.9830769230766,1493.4713211083356,-0.02896143790091504
3755,3755,user_1825,Huelva,Online,Visa,2899.51,2024-05-03 02:28:11.594970218,Y,2,2280.435,1485.8841364849725,0.41663746506136906
3759,3759,user_532,Barcelona,Online,Visa,1323.36,2024-05-03 05:25:27.200529450,Y,5,2392.0136363636366,1622.5183370197865,-0.6586388652633173
3762,3762,user_1298,Madrid,Online,Mastercard,104.57,2024-05-14 04:30:02.552708707,Y,4,3024.8100000000004,1776.276425830169,-1.6440233949708492
3793,3793,user_878,Valencia,Contactless,Visa,2523.44,2024-05-10 03:59:32.771107119,Y,3,3135.19875,1317.0427002996146,-0.4644942414249976
3807,3807,user_1430,Granada,Physical Card,Mastercard,3748.76,2024-05-03 05:33:53.657937033,Y,5,2455.1700000000005,1554.2003869860837,0.832318670637149
3809,3809,user_1145,Navarra,Online,Visa,2096.24,2024-05-26 04:20:14.408622482,Y,4,2198.0270588235294,1256.9223349155504,-0.08098118395705685
3812,3812,user_1790,Madrid,Contactless,Visa,1846.81,2024-05-16 03:14:33.026377990,Y,3,1509.4722222222222,1201.8219133338534,0.28068865614374006
3814,3814,user_92,La Coruña,Contactless,American Express,4334.92,2024-05-25 05:32:48.308594119,Y,5,2445.576,1476.5067797804984,1.2796040125741077
3834,3834,user_1895,Granada,Online,Visa,3037.36,2024-05-19 02:36:13.546374208,Y,2,2305.1905263157896,1389.684454481479,0.5268602317044689
3843,3843,user_1017,Almería,Online,Visa,3134.18,2024-05-23 05:00:40.502978160,Y,5,2853.671333333333,1234.2238901076178,0.22727535005193245
3847,3847,user_1849,Castellón,Contactless,Mastercard,1446.18,2024-05-15 02:58:29.123570010,Y,2,2539.4336842105263,1437.6419477247784,-0.7604492105567152
3848,3848,user_1849,Almería,Physical Card,Visa,3911.25,2024-05-12 04:31:40.576723078,Y,4,2539.4336842105263,1437.6419477247784,0.9542127773612332
3862,3862,user_1350,Jaén,Physical Card,Visa,4323.52,2024-05-25 03:57:50.662758816,Y,3,2202.8881818181817,1489.1903196691699,1.4240166553412235
3871,3871,user_288,Madrid,Online,Mastercard,1813.41,2024-05-28 03:32:10.868866408,Y,3,2413.605714285714,1744.0019687188537,-0.34414853024886116
3872,3872,user_1183,Orense,Online,Mastercard,1029.63,2024-05-12 02:16:37.258201758,Y,2,2245.7627272727273,1417.6660628800485,-0.8578414614807821
3878,3878,user_1179,Málaga,Online,Mastercard,4802.62,2024-05-29 03:35:35.085563014,Y,3,2872.3888888888887,1662.2757615799223,1.1611978925064206
3890,3890,user_988,Lérida,Physical Card,Visa,4211.08,2024-05-16 04:17:51.456934858,Y,4,2764.8405555555555,1274.3741186049963,1.1348625363072988
3892,3892,user_590,Almería,Online,Visa,4751.69,2024-05-22 02:02:07.295074217,Y,2,2767.0183333333334,1574.0548272432084,1.2608656524008188
3893,3893,user_934,Barcelona,Online,Visa,4327.31,2024-05-05 03:02:26.014938073,Y,3,2878.722,1137.4220448716476,1.2735712364036922
3894,3894,user_823,Barcelona,Online,Mastercard,2243.01,2024-05-21 03:46:20.410324288,Y,3,2207.0060000000003,1643.3958420985084,0.021908294445983974
3900,3900,user_1058,Valencia,Physical Card,Visa,134.34,2024-05-22 05:01:29.514985345,Y,5,2850.1425,1951.3511979203026,-1.3917548531983523
3903,3903,user_163,Málaga,Online,Mastercard,231.09,2024-05-06 05:27:13.393211685,Y,5,1845.7277777777776,1260.2533717845965,-1.2812009187417217
3909,3909,user_1946,Málaga,Contactless,Mastercard,2544.93,2024-05-21 04:20:06.239954618,Y,4,2298.5607692307694,1243.5633314690328,0.19811554790554345
3912,3912,user_1955,Alicante,Physical Card,Mastercard,3418.43,2024-05-23 02:58:16.870568214,Y,2,2769.880588235294,1539.9441085696528,0.4211512665658355
3917,3917,user_2,Barcelona,Online,Mastercard,141.72,2024-05-04 04:27:39.601021083,Y,4,2156.903684210526,1457.6250355714124,-1.3825117125684807
3920,3920,user_1704,Málaga,Online,Visa,4765.3,2024-05-09 02:04:17.993760045,Y,2,2288.666842105263,1683.1727428944441,1.4714075951799397
3933,3933,user_624,La Coruña,Contactless,Visa,2420.17,2024-05-14 03:49:56.880022690,Y,3,2148.255833333333,1759.3292027797945,0.15455559211831085
3937,3937,user_1767,Badajoz,Physical Card,Mastercard,37.74,2024-05-09 05:20:33.128486338,Y,5,2652.8866666666668,1844.7186740060572,-1.417639829593919
3940,3940,user_813,Barcelona,Online,Visa,750.01,2024-05-02 05:36:49.284296114,Y,5,2498.093529411765,1484.0847286203928,-1.1778866096390506
3955,3955,user_1302,Badajoz,Online,Visa,3751.06,2024-05-07 03:05:01.219627493,Y,3,2584.7725,1296.5667911089913,0.8995197995179564
3957,3957,user_1431,Valencia,Physical Card,Mastercard,503.6,2024-05-26 05:15:06.381771768,Y,5,2387.6222222222223,1701.6060458635673,-1.1072023555640804
3966,3966,user_329,Murcia,Online,Mastercard,4743.45,2024-05-26 05:48:52.211402098,Y,5,2097.207,1626.871402655689,1.6265840039232964
3967,3967,user_262,Gerona,Physical Card,Mastercard,4696.49,2024-05-06 03:43:49.289968800,Y,3,1633.157,1626.6498008623598,1.8832160421843656
3980,3980,user_1198,Madrid,Online,Visa,4998.14,2024-05-06 18:00:34.716838423,Y,18,2510.983157894737,1656.5555867758746,1.5014025861613094
3981,3981,user_56,Valencia,Contactless,Visa,3030.36,2024-05-09 02:10:37.836815732,Y,2,2290.1639999999998,1395.5489048865325,0.5303977505970551
3985,3985,user_428,Toledo,Online,Visa,1063.5,2024-05-20 02:37:31.148718918,Y,2,2660.5026315789473,1348.7913233288293,-1.1840249888600485
3994,3994,user_479,Murcia,Contactless,Visa,1314.75,2024-05-22 02:56:59.268223503,Y,2,2844.9605263157896,1463.6808172984593,-1.045453700172231
4000,4000,user_760,Ciudad Real,Physical Card,Mastercard,1539.29,2024-05-19 04:30:10.721376571,Y,4,2028.2470588235292,1335.0231516380375,-0.3662536175672999
4003,4003,user_1201,Orense,Contactless,Mastercard,1682.05,2024-05-22 03:20:12.026094355,Y,3,2114.2799999999997,1565.141008803999,-0.27616042105387545
4007,4007,user_148,Málaga,Contactless,American Express,3814.29,2024-05-24 03:41:46.759950836,Y,3,2918.271111111111,1136.668801329719,0.7882849321109996
4017,4017,user_1410,Almería,Contactless,Visa,4922.36,2024-05-27 05:16:23.984116479,Y,5,2173.7225,1750.0973063602908,1.5705626710073575
4022,4022,user_97,Navarra,Physical Card,Visa,1595.03,2024-05-14 05:58:40.355488323,Y,5,2125.397777777778,1518.843430987406,-0.34919186991708817
4030,4030,user_492,Granada,Online,Visa,4266.23,2024-05-29 02:17:30.354542876,Y,2,2343.1977777777774,1960.3735072861612,0.9809519538367807
4033,4033,user_266,Sevilla,Online,Mastercard,1208.99,2024-05-03 05:54:59.801455989,Y,5,2223.061,1163.7002215008429,-0.8714194439974725
4040,4040,user_1620,Toledo,Online,Mastercard,2995.47,2024-05-10 02:47:47.883142668,Y,2,2300.299,1346.88253069586,0.5161333554759547
4042,4042,user_979,Vizcaya,Physical Card,Mastercard,4607.71,2024-05-15 04:31:20.155053417,Y,4,2172.706111111111,1439.325062594756,1.6917678654877057
4053,4053,user_356,Barcelona,Physical Card,Visa,1143.53,2024-05-26 03:04:16.291954240,Y,3,2323.5468421052633,1381.8010824566475,-0.8539701242724168
4054,4054,user_158,Barcelona,Contactless,Mastercard,2101.05,2024-05-19 04:47:03.636191736,Y,4,2156.5685000000003,1382.8971210860764,-0.0401465149890528
4057,4057,user_1095,Las Palmas,Online,Visa,1306.51,2024-05-05 02:58:12.786234281,Y,2,1950.8511764705884,1562.6827938271826,-0.4123301152452864
4065,4065,user_1277,Valladolid,Online,Visa,505.41,2024-05-29 02:00:37.439727711,Y,2,2494.35375,1495.2045003984126,-1.3302151976335181
4076,4076,user_1476,Alicante,Online,Mastercard,3572.72,2024-05-28 05:53:34.030443415,Y,5,3029.772,1461.3925343805333,0.3715278320004207
4086,4086,user_355,Granada,Online,Visa,2993.45,2024-05-03 02:09:12.065803157,Y,2,2521.588888888889,1352.999347932058,0.34875191317151005
4089,4089,user_1281,Barcelona,Online,Visa,3504.23,2024-05-10 02:49:54.497494563,Y,2,2631.695882352941,1531.996469182692,0.5695405539103813
4096,4096,user_1948,Barcelona,Physical Card,Mastercard,3721.43,2024-05-26 04:54:00.238252812,Y,4,2524.5187499999997,1623.0525100601337,0.7374445636115955
4097,4097,user_849,Guipúzcoa,Physical Card,Visa,2681.31,2024-05-05 02:51:52.943178595,Y,2,2572.016666666667,1351.503233018925,0.08086797771781774
4112,4112,user_1826,Baleares,Contactless,Visa,3151.62,2024-05-20 03:34:29.736220100,Y,3,2134.5493333333334,1358.974633608877,0.7484103393201282
4116,4116,user_1651,Alicante,Contactless,Visa,205.55,2024-05-31 05:38:27.308310485,Y,5,2335.835,1520.363266152753,-1.401168422985278
4126,4126,user_1409,Granada,Online,Mastercard,986.64,2024-05-08 02:19:53.306230500,Y,2,2671.9791666666665,1349.2858179891002,-1.2490601651608564
4128,4128,user_1768,Málaga,Online,Mastercard,4837.85,2024-05-21 02:45:08.594119315,Y,2,2949.38,1280.1330388576805,1.4752138587760892
4133,4133,user_592,Almería,Online,Visa,1658.59,2024-05-30 02:58:53.629573603,Y,2,2315.250666666667,1175.880452083621,-0.5584416898019573
4139,4139,user_1574,Barcelona,Physical Card,Mastercard,4185.16,2024-05-14 03:56:16.723078377,Y,3,2036.1633333333334,1620.3608525072727,1.3262457330670552
4152,4152,user_967,Vizcaya,Contactless,Mastercard,1113.17,2024-05-29 02:06:57.282783398,Y,2,2965.2465,1524.2107381899068,-1.2151052696292206
4155,4155,user_347,Tarragona,Physical Card,Visa,3712.27,2024-05-30 03:53:45.602722889,Y,3,2293.2039999999997,1699.9239050986118,0.8347820721526243
4156,4156,user_1136,Barcelona,Physical Card,American Express,940.73,2024-05-26 04:51:53.623900917,Y,4,2948.35375,1435.8482480594382,-1.3982144371547074
4160,4160,user_1311,Lérida,Physical Card,Mastercard,1779.31,2024-05-13 05:40:29.838328448,Y,5,2473.929166666667,1595.1632953597193,-0.43545332862616165
4161,4161,user_360,Ciudad Real,Online,Visa,3202.87,2024-05-20 02:10:05.162144275,Y,2,3183.6025,1418.4696214466862,0.013583301121633575
